brand, original_price, new_price
Chrome Hearts,$400,-
Chrome Hearts,$178,$144
Chrome Hearts,$170,-
Chrome Hearts,$230,-
Chrome Hearts,$750,-
Chrome Hearts,$380,-
Chrome Hearts,$180,-
Chrome Hearts,$400,-
Chrome Hearts,$250,-
Chrome Hearts,$290,-
Chrome Hearts,$500,-
Chrome Hearts,$500,-
Chrome Hearts,$320,-
Chrome Hearts,$450,-
Chrome Hearts,$450,-
Chrome Hearts,$600,-
Chrome Hearts,$200,-
Chrome Hearts,$400,-
Chrome Hearts,$450,-
Chrome Hearts,$180,-
Chrome Hearts,$150,-
Chrome Hearts,$280,-
Chrome Hearts,$275,-
Chrome Hearts,$325,-
Chrome Hearts,$190,-
Chrome Hearts,$353,-
Chrome Hearts,$447,-
Chrome Hearts,$474,-
Chrome Hearts,$649,-
Chrome Hearts,$175,-
Chrome Hearts,$275,-
Chrome Hearts,$200,-
Chrome Hearts,$250,-
Chrome Hearts,$160,-
Chrome Hearts  The Rolling Stones,$170,-
Chrome Hearts,$325,-
Chrome Hearts,$299,-
Chrome Hearts,$300,-
Chrome Hearts,$275,-
Chrome Hearts,$275,-
Chrome Hearts,$300,-
Chrome Hearts,$299,-
Chrome Hearts,$300,-
Chrome Hearts,$210,-
Chrome Hearts,$198,$178
Chrome Hearts,$170,-
Chrome Hearts,$500,-
Chrome Hearts,$300,-
Chrome Hearts  Louis Vuitton,$1,000,-
Chrome Hearts,$225,$202
